occ,n
underlojtnant,25
orgelnisten,25
skollararinnan,25
sjӧm,25
sparvagsman,25
palssomm,25
korsnar,25
hem.eg.,24
sparv.man,24
stationsforman,24
f hem.ӓg,24
sparv.kondukt,24
platsl.arb.,24
omb.m,24
bag.mast,24
sparvagnsforare,24
smargl,24
handelsres,24
stnskarlsasp,24
mureriarbetare,24
magasinarbetare,24
hardare,24
ratt,24
lakare,24
banmast.,24
skoarbetaren,24
laduf.,24
grefve,24
tjan,24
gastg.,24
bokfor,24
kemigr,24
fӧrest,24
sockerf.arb.,24
tjan:a,24
sulfitarb,24
bagaregesallen,24
tjanstepersonal,24
maskin.,23
mal.mast.,23
springpojken,23
jordbrukare,23
bokbind,23
transp.arb.,23
forsalj.,23
frӧken,23
direktoren,23
packerska,23
laborant,23
disp.,23
jarnvagstjansteman,23
kemigraf,23
tyglagerska,23
qvarneg.,23
tj.,23
sommersk.,23
kontorsvakt,23
hushallsbitrade,23
handelsb.,23
f. handl.,23
h.,23
skr.,23
und.,23
stuv. arb,23
v.arb.,23
typogr.,23
direktris,23
bryggare,23
skotare,23
hemmansagarson,23
redakt,23
fosfatarb,23
forestand.,23
fotografen,23
jӓrnarb,23
hemmansegaren,23
telefonisten,23
handtlang.,22
telefonarb.,22
artist,22
dekorat,22
tunnbindaren,22
mobelsnick.,22
bankkamr,22
diakonissa,22
intagen,22
textilarbet.,22
glasmast,22
husmoder,22
stensattare,22
sparvgsm,22
skol.,22
skepp,22
glasarb,22
eg. handl.,22
hyttarb,22
smask.lӓr,22
lojtn.,22
mjolkutkorare,22
spolerska,22
jarnv.arb.,22
gr. arb.,22
verkst.ag,22
slojdlar,22
postexp,22
portier,22
lagerform,22
aff.fӧrest,22
2 kl. kust.art.,22
gummlarb,22
folksk.iar,22
jarnarbet.,22
sagaren,22
fabriksarbetaren,22
skradd.arb.,22
fabrarb.,22
soldaten,22
skrӓdd,22
bankkass,22
sparv.for,22
handelsarbetare,22
fil.kand.,22
skraddarmastare,21
forest.,21
malaremastaren,21
textilarbetare,21
f jbr.arb,21
fil.mag,21
fiskhandl.,21
kassӧrska,21
tradg. mast.,21
hem. eg.,21
jarnhandl,21
serv.,21
lag.arb,21
