id,name
991,sellari
992,sellari e baulari
993,selleri
994,sensali
995,sensali di ripa e ripetta
996,senseri di rialto
997,serratori di tavole
998,servienti di gran corte di vicaria
999,servitori (confraternita)
1000,"seta, arte della"
1001,setaioli
1002,sgargiotti
1003,shoemakers (calzolai e ciabattini)
1004,shoemakers (calzolai)
1005,shoemakers (corviseri)
1006,shoemakers (curbeseria)
1007,shoemakers (curviseri)
1008,shoemakers (li corbiseri)
1009,shoemakers (scarpara)
1010,shoemakers (scarpari)
1011,shoemakers and leather workers (curviseli e cunzaturi)
1012,shop and inn keepers (bottegari e tavemari)
1013,shop keepers (recapteri o rigattieri)
1014,shopkeepers (li putiari)
1015,shopkeepers (putegari)
1016,silk consuls (consoli della seta)
1017,silk weavers (maestri di opera piana della seta)
1018,silk weavers (setaioli)
1019,silver and goldsmiths (argentieri e orefici)
1020,silver and goldsmiths (orefici e argentieri)
1021,silver- and goldsmiths (aurifabri)
1022,silversmiths (arginteri)
1023,silversmiths (li arginteri)
1024,slipper makers (planellarii)
1025,smiths (ferrari)
1026,smiths (frenali)
1027,smiths (maniscalchi)
1028,soap makers (saponari)
1029,sock and jacket makers (calcitteri e gipponari)
1030,sock makers (calzettari)
1031,sock makers working old silk (calzettieri di seta vecchia)
1032,sogai
1033,solfarinari
1034,sonadori
1035,sonatori di fiato
1036,sosamellari
1037,spadari
1038,spadari e coltellieri
1039,spaderi
1040,specchieri
1041,speziali
1042,speziali di medicina
1043,speziali di medicine (monte)
1044,speziali droghieri
1045,speziali e aromatari
1046,speziali e merciai
1047,speziali e protomedicato
1048,speziali farmacisti
1049,speziali manuali (monte)
1050,"speziali manuali, droghieri e cioccolatieri"
1051,speziali non farmascisti
1052,spezieri da grosso
1053,spezieri da medicinale
1054,squerarioli
1055,stadereri
1056,stagnai
1057,stagnari
1058,stallieri
1059,stallieri e nolezini
1060,stampadori e libreri
1061,"stampatori e librari, cercheri, cestai, setacciatori"
1062,stazioneri da vero
1063,stioeri
1064,stone cutters (perreatori)
1065,stone cutters/sculptors (scarpellini)
1066,stopperi di seta
1067,stoppieri
1068,stracceri
1069,straccivendoli
1070,stramazzeri
1071,strapontieri
1072,strazzaroli
1073,sugar makers (cannamelari)
1074,sugar markers (zuccareri)
1075,suolai
1076,suonatori di corde
1077,"suonatori di trombetta, ciaramella e corde di musica"
1078,sutoribus
1079,sword makers (li spatari)
1080,sword makers (spadari)
1081,sword makers (spatari)
1082,sword-makers (spadari)
1083,tabinari
1084,tagliapietra
1085,tagliapietre e marmorini
1086,tailors (custureri)
1087,tailors (custureria)
1088,tailors (mastri custureri)
1089,tailors (sarti)
1090,tailors (sartori)
1091,tailors (sutores)
1092,tailors and jacket makers (sarti e gipponari)
1093,tailors and shoemakers (mastri sartori e calzolai)
1094,tailors for clerical cloths (zimmatori)
1095,tamiseri
1096,tanners (conciatori)
1097,tanners (conzarioti)
1098,tanners (li conzaturi)
1099,tapezzieri
1100,tappezzieri
1101,tarallari padroni dei forni
1102,tavernari
